id,date,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities
1452,1/25/10,Soddy-Daisy,3.20504,,35.2361,-85.226,"(35.2361, -85.225999999999999)",Landslide,Complex,Small,Downpour,,,0
1453,1/25/10,Pittsburgh,1.49656,,40.4355,-80.0122,"(40.435499999999998, -80.012200000000007)",Landslide,Mudslide,Small,Downpour,,,0
1454,1/25/10,Canaan,10.75115,,41.9953,-73.2068,"(41.9953, -73.206800000000001)",Landslide,Mudslide,Small,Downpour,,,0
1455,1/25/10,Tobaccoville,2.39331,,36.2592,-80.3654,"(36.2592, -80.365399999999994)",Landslide,Mudslide,Small,Downpour,,,0
1456,1/26/10,Manchester,5.79962,Natural slope,37.1016,-83.7568,"(37.101599999999998, -83.756799999999998)",Landslide,Complex,Medium,Downpour,,,0
1459,1/28/10,Anta,0.13147,,-9.3584,-77.5984,"(-9.3583999999999996, -77.598399999999998)",Landslide,Complex,Medium,Downpour,,,0
1465,02/03/2010,Baños,11.91442,Unknown,-1.3833,-78.3167,"(-1.3833, -78.316699999999997)",Landslide,Mudslide,Medium,Downpour,,2,4
1467,02/04/2010,Clemson,4.34093,,34.6998,-82.8804,"(34.699800000000003, -82.880399999999995)",Landslide,Rockfall,Small,Rain,,,0
1469,02/05/2010,Toluca,0.66626,,19.288,-99.6469,"(19.288, -99.646900000000002)",Landslide,Landslide,Large,Downpour,,,11
1470,02/05/2010,Heroica Zitácuaro,4.18059,,19.4,-100.3667,"(19.399999999999999, -100.36669999999999)",Landslide,Mudslide,Medium,Downpour,,,2
1471,02/05/2010,Jarácuaro,3.4274,,19.567,-101.7098,"(19.567, -101.7098)",Landslide,Mudslide,Medium,Downpour,,,1
1472,02/05/2010,Mineral de Angangueo,1.69508,,19.6167,-100.3,"(19.616700000000002, -100.3)",Landslide,Mudslide,Medium,Downpour,,,3
1474,02/05/2010,Maggie Valley,0.91282,,35.526,-83.0946,"(35.526000000000003, -83.0946)",Landslide,Mudslide,Medium,Downpour,,,0
1477,02/04/2010,Zacazonapan,4.40801,Above road,19.1927,-99.8654,"(19.192699999999999, -99.865399999999994)",Landslide,Mudslide,Large,Downpour,,,11
1484,02/06/2010,Williamsburg,5.2968,,36.7908,-84.1668,"(36.790799999999997, -84.166799999999995)",Landslide,Mudslide,Small,Downpour,,,0
1485,02/06/2010,Jenkins,19.17,,37.3298,-82.7228,"(37.329799999999999, -82.722800000000007)",Landslide,Landslide,Medium,Downpour,,,0
1490,02/08/2010,Livingston,14.90347,Above road,36.2585,-85.0777,"(36.258499999999998, -85.077699999999993)",Landslide,Mudslide,Small,Rain,,,0
1506,2/15/10,Cap-Haïtien,0.27505,Urban area,19.756,-72.206,"(19.756, -72.206000000000003)",Landslide,Mudslide,Medium,Downpour,,,4
1525,2/25/10,Banning,2.18534,,33.9062,-116.8721,"(33.906199999999998, -116.8721)",Landslide,Complex,Small,Rain,,,0
1531,2/27/10,San Bernardino,1.18379,,34.1102,-117.3024,"(34.110199999999999, -117.30240000000001)",Landslide,Mudslide,Small,Downpour,,,0
1552,03/11/2010,Pont Cassé,3.98646,,15.3356,-61.3312,"(15.335599999999999, -61.331200000000003)",Landslide,Landslide,Medium,Rain,,,0
1555,03/11/2010,Pittsburgh,1.29986,,40.4319,-80.0061,"(40.431899999999999, -80.006100000000004)",Landslide,Landslide,Small,Downpour,,,0
1556,03/11/2010,Crafton,2.37904,,40.4327,-80.0383,"(40.432699999999997, -80.038300000000007)",Landslide,Landslide,Small,Downpour,,,0
1557,03/11/2010,Saint Croix Falls,3.90084,,45.3853,-92.6751,"(45.385300000000001, -92.6751)",Landslide,Mudslide,Small,Downpour,,,0
1562,03/12/2010,Belle,0.02907,,38.2323,-81.5377,"(38.232300000000002, -81.537700000000001)",Landslide,Mudslide,Medium,Downpour,,,0
1564,3/13/10,Princeton,7.04356,,37.3042,-81.1194,"(37.304200000000002, -81.119399999999999)",Landslide,Mudslide,Medium,Downpour,,,0
1565,3/13/10,Lake Mohawk,4.41013,,41.0469,-74.6236,"(41.046900000000001, -74.623599999999996)",Landslide,Mudslide,Medium,Downpour,,,0
1566,3/13/10,Summersville,6.25122,,38.3182,-80.7987,"(38.318199999999997, -80.798699999999997)",Landslide,Landslide,Medium,Downpour,,,0
1567,3/14/10,Jackson,13.05284,,38.9632,-82.7353,"(38.963200000000001, -82.735299999999995)",Landslide,Mudslide,Small,Downpour,,,0
1568,3/14/10,Topsfield,1.03712,,42.6428,-70.939,"(42.642800000000001, -70.938999999999993)",Landslide,Mudslide,Medium,Downpour,,,0
1569,3/14/10,Ogdensburg,0.77081,,41.0752,-74.5894,"(41.075200000000002, -74.589399999999998)",Landslide,Mudslide,Medium,Downpour,,,0
1570,3/14/10,Robbinsville,23.26062,,35.5001,-83.9442,"(35.500100000000003, -83.944199999999995)",Landslide,Landslide,Medium,Downpour,,,0
1575,3/15/10,Clinton,1.25138,,42.4135,-71.6974,"(42.413499999999999, -71.697400000000002)",Landslide,Mudslide,Small,Rain,,,0
1576,3/15/10,Walpole,2.73316,,42.1433,-71.2165,"(42.143300000000004, -71.216499999999996)",Landslide,Landslide,Small,Downpour,,,0
1578,3/16/10,New Hope,6.71244,Retaining wall,40.4059,-75.0086,"(40.405900000000003, -75.008600000000001)",Landslide,Mudslide,Small,Downpour,,,0
1579,3/18/10,Gatlinburg,11.83863,Above road,35.6733,-83.6643,"(35.673299999999998, -83.664299999999997)",Landslide,Landslide,Small,Downpour,,,0
1584,3/21/10,Salineville,10.58008,,40.5399,-80.9,"(40.539900000000003, -80.900000000000006)",Landslide,Landslide,Small,Downpour,,,0
1591,3/25/10,Good Hope,22.45613,,34.0844,-87.104,"(34.084400000000002, -87.103999999999999)",Landslide,Landslide,Medium,Downpour,,,0
1595,3/26/10,Worcester,7.59235,,42.5435,-74.8163,"(42.543500000000002, -74.816299999999998)",Landslide,Landslide,Small,Downpour,,,0
